Date,Type,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft)
5/8/13,Running,0.56,1:17,2:19,25.99,30,16
6/4/19,Walking,2.59,43:44:00,16:52,3.56,328.312,0
5/9/13,Running,2,22:25,11:11,5.36,305,125
5/29/19,Walking,2.28,23:46,10:26,5.75,326.131,236
5/27/19,Walking,2.24,48:42:00,21:45,2.76,218.532,200
6/8/13,Running,2.26,32:22:00,14:18,4.19,338,153
6/17/13,Running,1.79,30:54:00,17:14,3.48,257,293
7/6/13,Running,1.62,20:16,12:30,4.8,248,129
5/18/19,Walking,4.46,1:10:54,15:54,3.77,600,223
7/8/13,Running,2.02,22:29,11:08,5.39,309,146
7/11/13,Running,2.34,23:28,10:02,5.98,379,142
8/13/15,Running,3.34,38:35:00,11:33,5.2,411,118
8/23/15,Running,2.31,25:51:00,11:12,5.35,360,158
9/14/15,Running,1.89,18:45,9:56,6.04,311,97
10/3/15,Running,2.36,23:29,9:58,6.02,410,304
10/18/15,Running,3.12,44:37:00,14:18,4.19,534,575
10/25/15,Running,2.04,19:47,9:41,6.19,329,51
11/2/15,Running,1.94,19:48,10:12,5.88,360,381
11/3/15,Running,2.11,20:54,9:56,6.04,388,417
11/8/15,Running,2.11,21:28,10:11,5.89,363,306
11/29/15,Running,2.28,23:01,10:07,5.93,366,91
12/5/15,Running,2.47,44:11:00,17:55,3.35,351,93
12/25/15,Running,2.2,27:55:00,12:42,4.72,329,83
12/25/18,Walking,2.29,23:02,10:05,5.95,394,101
12/24/18,Walking,3.18,50:05:00,15:46,3.8,446,149
3/8/16,Running,2,19:30,9:44,6.17,333,124
3/12/16,Running,2.12,21:50,10:18,5.83,344,116
3/19/16,Running,2.78,34:32:00,12:24,4.84,415,71
3/26/16,Running,2.77,34:46:00,12:34,4.77,426,191
3/28/16,Running,2.25,20:29,9:07,6.59,371,132
4/3/16,Running,2.76,34:34:00,12:30,4.8,412,75
4/11/16,Running,2,18:04,9:03,6.63,327,91
4/18/16,Running,0.07,0:37,9:20,6.43,10,2
4/23/16,Running,2,18:16,9:07,6.58,331,114
4/24/16,Running,2,18:07,9:04,6.62,329,104
5/7/16,Running,2.2,20:06,9:08,6.57,361,109
5/10/16,Running,2.06,18:27,8:57,6.71,327,26
5/15/16,Running,2.16,19:11,8:53,6.75,355,106
5/16/16,Running,2.21,19:29,8:49,6.81,363,106
5/21/16,Running,2.04,19:53,9:45,6.15,343,154
5/24/16,Running,2.31,20:31,8:54,6.74,382,124
5/26/16,Running,2.36,19:55,8:27,7.1,383,127
5/28/16,Running,3.36,40:07:00,11:56,5.03,508,212
5/29/16,Running,2.22,20:23,9:12,6.52,370,157
9/20/18,Walking,3.54,1:03:22,17:56,3.35,424,164
5/30/16,Running,2.01,17:37,8:46,6.85,330,97
5/30/16,Running,1.76,22:43,12:54,4.65,264,138
6/3/16,Running,1.71,14:36,8:33,7.02,280,84
6/7/16,Running,1.71,17:29,10:14,5.86,274,150
