Date,End,Sleep quality,Time in bed
7/30/17,7/31/17,87%,7:25
7/31/17,8/1/17,78%,6:48
8/1/17,8/2/17,60%,6:31
8/4/17,8/5/17,61%,5:19
8/6/17,8/7/17,99%,8:09
8/8/17,8/9/17,72%,6:32
8/15/17,8/16/17,0%,0:00
8/20/17,8/21/17,88%,8:16
8/22/17,8/23/17,90%,7:39
8/24/17,8/25/17,99%,8:29
8/27/17,8/28/17,85%,7:08
8/28/17,8/29/17,88%,7:54
8/29/17,8/30/17,79%,7:22
8/30/17,8/31/17,72%,6:05
8/31/17,9/1/17,89%,7:58
9/4/17,9/5/17,63%,5:55
9/6/17,9/7/17,77%,7:19
9/7/17,9/8/17,62%,5:39
9/10/17,9/11/17,88%,7:44
9/11/17,9/12/17,69%,7:10
9/15/17,9/16/17,80%,8:15
9/16/17,9/17/17,64%,7:52
9/17/17,9/18/17,72%,8:15
9/19/17,9/20/17,66%,7:16
9/21/17,9/22/17,54%,6:34
9/24/17,9/25/17,83%,8:12
9/26/17,9/27/17,77%,7:17
9/27/17,9/28/17,93%,8:04
10/1/17,10/2/17,81%,7:48
10/3/17,10/4/17,78%,7:53
10/6/17,10/7/17,72%,6:32
10/8/17,10/9/17,80%,7:17
10/9/17,10/10/17,72%,6:56
10/10/17,10/11/17,82%,6:55
10/18/17,10/19/17,77%,7:12
10/24/17,10/25/17,91%,8:27
11/1/17,11/1/17,0%,0:00
11/3/17,11/4/17,84%,7:24
11/5/17,11/6/17,84%,7:43
11/7/17,11/8/17,76%,7:12
11/9/17,11/10/17,78%,7:21
12/3/17,12/4/17,100%,8:34
12/4/17,12/5/17,81%,8:23
12/6/17,12/7/17,76%,7:18
12/8/17,12/8/17,53%,5:10
12/8/17,12/9/17,71%,8:13
12/9/17,12/10/17,58%,6:17
12/11/17,12/12/17,74%,7:30
12/12/17,12/13/17,74%,7:23
12/13/17,12/14/17,68%,5:53
12/14/17,12/15/17,81%,7:56
12/16/17,12/17/17,49%,5:32
12/18/17,12/19/17,78%,7:59
12/19/17,12/20/17,82%,6:52
12/20/17,12/21/17,59%,7:08
12/21/17,12/22/17,50%,6:18
1/7/18,1/8/18,100%,9:10
1/11/18,1/12/18,76%,6:29
1/14/18,1/15/18,77%,7:24
1/28/18,1/29/18,75%,6:42
